required,,,,,,,,,,,,,,,,,,,,not required
sample,foldername,peak_assignment,hplc_machine,peaks_manual,peaks_autofitting,background_substraction,setting_background_substraction,fitting_boundaries,time_window,concentration,unit,concentration_lactose,unit_lactose,concentration_maltose,unit_maltose,concentration_glucose,unit_glucose,concentration_succinate,unit_succinate,notes
230618_YCA_1mM_scfa_15mM_glu_15mM,Stan_YCA_calibration_2.5mM_H2SO5,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",15,mM,,,,,,,,,
230618_YCA_3mM_scfa_10mM_glu_10mM,Stan_YCA_calibration_2.5mM_H2SO6,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",10,mM,,,,,,,,,
230618_YCA_5mM_scfa_20mM_glu_20mM,Stan_YCA_calibration_2.5mM_H2SO7,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",20,mM,,,,,,,,,
230618_YCA_8mM_scfa_25mM_glu_25mM,Stan_YCA_calibration_2.5mM_H2SO8,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",25,mM,,,,,,,,,
230618_YCA_10mM_scfa_30mM_glu_30mM,Stan_YCA_calibration_2.5mM_H2SO9,None,Shimadzu_ProminenceLC2030C,"[21.75,20.9,23.1,27.2,28.2,35.8]",TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,37]",30,mM,,,,,,,,,
Mar 21 output cal002,Stan_epsilon_acetate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",2,mM,,,,,,,,,
Mar 21 output cal003,Stan_epsilon_acetate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",3,mM,,,,,,,,,
Mar 21 output cal004,Stan_epsilon_acetate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",4,mM,,,,,,,,,
Mar 21 output cal005,Stan_epsilon_acetate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",5,mM,,,,,,,,,
Mar 21 output cal006,Stan_epsilon_acetate_cal,,Shimadzu_ProminenceLC2030C,[],TRUE,TRUE,80,"[0.1,0.3,0.0,-0.1,10,0.3,0.8,0.1]","[12,40]",6,mM,,,,,,,,,
