"","genus","phylum","class","order","family"
"183","Allisonella","Bacillota","Negativicutes","Veillonellales","Veillonellaceae"
"184","Dialister","Bacillota","Negativicutes","Veillonellales","Veillonellaceae"
"185","Megamonas","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae"
"186","Negativicoccus","Bacillota","Negativicutes","Veillonellales","Veillonellaceae"
"187","Selenomonas","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae"
"188","Cetobacterium","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"189","Coprobacillus","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae"
"190","Eggerthia","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae"
"191","Kandleria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae"
"192","Stoquefichus","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"193","Anaerorhabdus","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"194","Bulleidia","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"195","Holdemania","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"196","Solobacterium","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"197","Peptococcus","Bacillota","Clostridia","Eubacteriales","Peptococcaceae"
"198","Robinsoniella","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"199","Anaerofustis","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae"
"200","Pseudoramibacter","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae"
"201","Dielma","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae"
"202","Hespellia","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"203","Lachnoanaerobaculum","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"204","Lactonifactor","Bacillota","Clostridia","Eubacteriales","Clostridiaceae"
"205","Lachnobacterium","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"206","Oribacterium","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"207","Parasporobacterium","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae"
"208","Cellulosilyticum","Bacillota","Clostridia","Eubacteriales","Cellulosilyticaceae"
"209","Finegoldia","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae"
"210","Kallipyga","Bacillota","Tissierellia",NA,NA
"211","Parvimonas","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae"
"212","Tissierella","Bacillota","Tissierellia","Tissierellales","Tissierellaceae"
"213","Oscillibacter","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae"
"214","Papillibacter","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae"
"215","Pseudoflavonifractor","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae"
"216","Soleaferrea","Bacillota","Clostridia","Eubacteriales",NA
"217","Mogibacterium","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis"
"218","Filifactor","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae"
"219","Peptostreptococcus","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae"
"220","Sarcina","Bacillota","Clostridia","Eubacteriales","Clostridiaceae"
"221","Acetanaerobacterium","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae"
"222","Butyricicoccus","Bacillota","Clostridia","Eubacteriales","Clostridiaceae"
"223","Hydrogenoanaerobacterium","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae"
"224","Christensenella","Bacillota","Clostridia","Eubacteriales","Christensenellaceae"
"225","Catabacter","Bacillota","Clostridia","Eubacteriales","Christensenellaceae"
"226","Weissella","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae"
"227","Abiotrophia","Bacillota","Bacilli","Lactobacillales","Aerococcaceae"
"228","Aerococcus","Bacillota","Bacilli","Lactobacillales","Aerococcaceae"
"229","Facklamia","Bacillota","Bacilli","Lactobacillales","Aerococcaceae"
"230","Tetragenococcus","Bacillota","Bacilli","Lactobacillales","Enterococcaceae"
"231","Kurthia","Bacillota","Bacilli","Bacillales","Planococcaceae"
"232","Lysinibacillus","Bacillota","Bacilli","Bacillales","Bacillaceae"
"233","Planococcus","Bacillota","Bacilli","Bacillales","Planococcaceae"
"234","Planomicrobium","Bacillota","Bacilli","Bacillales","Planococcaceae"
"235","Sporosarcina","Bacillota","Bacilli","Bacillales","Planococcaceae"
"236","Ureibacillus","Bacillota","Bacilli","Bacillales","Planococcaceae"
"237","Gemella","Bacillota","Bacilli","Bacillales","Gemellaceae"
"238","Brochothrix","Bacillota","Bacilli","Bacillales","Listeriaceae"
"239","Aneurinibacillus","Bacillota","Bacilli","Bacillales","Paenibacillaceae"
"240","Brevibacillus","Bacillota","Bacilli","Bacillales","Paenibacillaceae"
"241","Paenibacillus","Bacillota","Bacilli","Bacillales","Paenibacillaceae"
"242","Geobacillus","Bacillota","Bacilli","Bacillales","Bacillaceae"
"243","Oceanobacillus","Bacillota","Bacilli","Bacillales","Bacillaceae"
"244","Virgibacillus","Bacillota","Bacilli","Bacillales","Bacillaceae"
"245","Exiguobacterium","Bacillota","Bacilli","Bacillales",NA
"246","Capnocytophaga","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"247","Chryseobacterium","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae"
"248","Cloacibacterium","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae"
"249","Wautersiella","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae"
"250","Sphingobacterium","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae"
"251","Tumebacillus","Bacillota","Bacilli","Bacillales","Alicyclobacillaceae"
"252","Paraprevotella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"253","Dyadobacter","Bacteroidota","Cytophagia","Cytophagales","Spirosomataceae"
"254","Hymenobacter","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae"
"255","Rudanella","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae"
"256","Tannerella","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae"
"257","Alloprevotella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae"
"258","Olsenella","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae"
"259","Paraeggerthella","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae"
"260","Senegalimassilia","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae"
"261","Slackia","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae"
"262","Scardovia","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae"
"263","Atopobium","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae"
"264","Cryptobacterium","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae"
"265","Gordonibacter","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae"
"266","Micrococcus","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"267","Rothia","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"268","Micromonospora","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae"
"269","Mycobacterium","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae"
"270","Rhodococcus","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae"
"271","Promicromonospora","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae"
"272","Cellulosimicrobium","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae"
"273","Aeromicrobium","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae"
"274","Propionibacterium","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae"
"275","Streptomyces","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae"
"276","Tropheryma","Actinomycetota","Actinomycetes","Micrococcales","Tropherymataceae"
"277","Timonella","Actinomycetota","Actinomycetes","Micrococcales",NA
"278","Dietzia","Actinomycetota","Actinomycetes","Mycobacteriales","Dietziaceae"
"279","Blastococcus","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae"
"280","Gordonia","Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae"
"281","Janibacter","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae"
"282","Agrococcus","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"283","Curtobacterium","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"284","Microbacterium","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"285","Yonghaparkia","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae"
"286","Arthrobacter","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"287","Kocuria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae"
"288","Cellulomonas","Actinomycetota","Actinomycetes","Micrococcales","Cellulomonadaceae"
"289","Corynebacterium","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae"
"290","Brachybacterium","Actinomycetota","Actinomycetes","Micrococcales","Dermabacteraceae"
"291","Dermabacter","Actinomycetota","Actinomycetes","Micrococcales","Dermabacteraceae"
"292","Dermacoccus","Actinomycetota","Actinomycetes","Micrococcales","Dermacoccaceae"
"293","Kytococcus","Actinomycetota","Actinomycetes","Micrococcales","Kytococcaceae"
"294","Arcanobacterium","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae"
"295","Mobiluncus","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae"
"296","Trueperella","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae"
"297","Georgenia","Actinomycetota","Actinomycetes","Micrococcales","Bogoriellaceae"
"298","Brevibacterium","Actinomycetota","Actinomycetes","Micrococcales","Brevibacteriaceae"
"299","Uruburuella","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae"
"300","Tsukamurella","Actinomycetota","Actinomycetes","Mycobacteriales","Tsukamurellaceae"
"301","Thermus","Deinococcota","Deinococci","Thermales","Thermaceae"
"302","Thermomonas","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae"
"303","Thauera","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Zoogloeaceae"
"304","Sphingopyxis","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"305","Sneathia","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae"
"306","Romboutsia","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae"
