,exp_number,medium,experiment,experimentator,date_of_experiment,experiment_short,sample_number,strain,species,use_in_study,quality,skip,notes,notes_2,culture,growth-rate,y0,glucose-turnover,glucose_error,glucose_val,acetate-turnover,acetate_error,acetate_val,propionate-turnover,propionate_error,propionate_val,ethanol-turnover,ethanol_error,ethanol_val,succinate-turnover,succinate_error,succinate_val,lactate-turnover,lactate_error,lactate_val,butyrate-turnover,butyrate_error,butyrate_val,formate-turnover,formate_error,formate_val,maltose-turnover,maltose_error,maltose_val,growthcurve_time,growthcurve_OD,,,,,,,,,,,,
84,84,epsilon,Markus_old_Er13,Markus,2015,Markus_old_Er13,,ATCC33656,E.rectale,yes,OK,,,,,0.669367656,0.049015403,-12.20252282782104,,"[[0.094, 0.192, 0.299, 0.418], [20.99082020468031, 20.115789610974065, 18.697703330222016, 17.089774784985668]]",2.021288513713818,,"[[0.094, 0.192, 0.299, 0.418], [0.9775545879448098, 1.1601288859199645, 1.3710250915759634, 1.633030778492133]]",,,"[[], []]",,,"[[], []]",-0.11780415029053382,,"[[0.094, 0.192, 0.299, 0.418], [-0.006603231948086374, -0.00020615119722533493, -0.018207931851643988, -0.04208847405210725]]",3.833786222364582,,"[[0.094, 0.192, 0.299, 0.418], [0.29386649134391224, 0.49875893851823905, 0.8881329743011876, 1.5313016415335512]]",4.376328016550111,,"[[0.094, 0.192, 0.299, 0.418], [0.3254278441312215, 0.7714821680354235, 1.2344157694714621, 1.7459749828992528]]",,,"[[], []]",,,"[[], []]","[0.,0.28333333,0.63333333,0.95,1.3,1.61666667,
1.98333333,2.35,2.68333333,2.98333333,3.28333333]","[0.048,0.057,0.075,0.094,0.118,0.149,0.192,0.244,0.299,0.353,0.418]",,,,,,,,,,,,
85,85,epsilon,Markus_old_Er14,Markus,2015,Markus_old_Er14,,ATCC33656,E.rectale,yes,OK,,,,,0.664183282,0.041895642,-10.329272816221247,,"[[0.101, 0.204, 0.303, 0.361], [20.912165877725183, 19.91472889025935, 18.628247408160544, 18.34895632208814]]",2.1329187677891928,,"[[0.101, 0.204, 0.303, 0.361], [0.9801415336481516, 1.2171727745701435, 1.385974225730365, 1.553084033187441]]",,,"[[], []]",,,"[[], []]",-0.035916411678817636,,"[[0.101, 0.204, 0.303, 0.361], [-0.0012472239747651215, 0.0033002910087857606, -0.0119769221566694, -0.006151595856171255]]",3.1980117145723663,,"[[0.101, 0.204, 0.303, 0.361], [0.3143624969508646, 0.5299941667858917, 0.8674825713422706, 1.1567162876222077]]",4.4958978955703905,,"[[0.101, 0.204, 0.303, 0.361], [0.3530246101875003, 0.8411252014563247, 1.2507694034708714, 1.535352157482003]]",,,"[[], []]",,,"[[], []]","[0.,0.3,0.63333333,0.95,1.3,1.63333333,
2.,2.36666667,2.68333333,3.,3.3]","[0.04,0.051,0.064,0.081,0.101,0.125,0.161,0.204,0.253,0.303,0.361]",,,,,,,,,,,,
86,86,epsilon,Markus_old_Bt11,Markus,2015,Markus_old_Bt11,,ATCC29148,B.theta,no,OK,pro,,,,0.742884286,0.02760818,-3.9578877065497844,,"[[0.13, 0.204, 0.294, 0.419], [20.056656093739583, 20.578308170544705, 19.8494893909594, 19.121330830388693]]",5.254635480292224,,"[[0.13, 0.204, 0.294, 0.419], [1.1037661052687524, 1.4373020949108755, 1.8963811677948834, 2.6162250752296545]]",-0.38815845382866754,,"[[0.13, 0.204, 0.294, 0.419], [0.4328785544186528, -0.08656671077094383, 0.05157716522121164, 0.20562814331021395]]",,,"[[], []]",3.8520635337386864,,"[[0.13, 0.204, 0.294, 0.419], [0.22859150928743932, 0.503044773798414, 0.8308863568869548, 1.3439837383212971]]",,,"[[], []]",,,"[[], []]",,,"[[], []]",,,"[[], []]","[0.,0.58333333,1.23333333,2.15,2.7,3.16666667,
3.65]","[0.028,0.041,0.073,0.13,0.204,0.294,0.419]",,,,,,,,,,,,
87,87,epsilon,Markus_old_Bt12,Markus,2015,Markus_old_Bt12,,ATCC29148,B.theta,no,OK,,,,,0.567487577,0.026955729,-7.13381283971316,,"[[0.091, 0.22, 0.302, 0.449], [21.068157377158478, 20.168055295353025, 19.35227198479899, 18.561151710114007]]",5.471755978684859,,"[[0.091, 0.22, 0.302, 0.449], [1.0036113586635027, 1.5592007526307354, 2.028237665352159, 2.951081547721096]]",1.229825218596201,,"[[0.091, 0.22, 0.302, 0.449], [-0.11265103280144248, 0.026808298818529863, 0.12045107668961197, 0.328118016124954]]",,,"[[], []]",3.9413491635770943,,"[[0.091, 0.22, 0.302, 0.449], [0.3422634281072915, 0.7715220549153868, 1.084016950121117, 1.751510655555831]]",,,"[[], []]",,,"[[], []]",,,"[[], []]",,,"[[], []]","[0.,0.81666667,1.55,2.11666667,2.58333333,3.06666667,
3.63333333,3.96666667,4.25,5.06666667]","[0.027,0.041,0.065,0.091,0.117,0.157,0.22,0.262,0.302,0.449]",,,,,,,,,,,,
88,88,epsilon,Markus_old_Bt13,Markus,2015,Markus_old_Bt13,,ATCC29148,B.theta,no,OK,,,,,0.195579708,0.030202988,-8.332105630482149,,"[[0.086, 0.164, 0.214, 0.274], [21.008661019067937, 20.283184187279154, 19.959707363824258, 19.419128666911128]]",5.1324873667193875,,"[[0.086, 0.164, 0.214, 0.274], [1.10466020524473, 1.466953184646977, 1.7389141776704329, 2.0683380970989913]]",1.5352338391768,,"[[0.086, 0.164, 0.214, 0.274], [-0.0719521481273318, 0.03970912904203955, 0.11607887527964644, 0.21761421653571839]]",,,"[[], []]",4.0487367964170495,,"[[0.086, 0.164, 0.214, 0.274], [0.44133284578161236, 0.743349207462325, 0.9478123955544896, 1.2032136730270642]]",,,"[[], []]",,,"[[], []]",,,"[[], []]",,,"[[], []]","[0.,0.55,1.13333333,1.95,2.7,3.25,
3.71666667,4.76666667,5.76666667,6.68333333,7.75,8.6,
9.66666667,10.65]","[0.033,0.036,0.039,0.044,0.051,0.055,0.06,0.07,0.086,0.102,0.132,0.164,
0.214,0.274]",,,,,,,,,,,,
89,89,epsilon,Markus_old_Er15,Markus,2015,Markus_old_Er15,,ATCC33656,E.rectale,yes,OK,suc,,,,0.598489292,0.046916333,-11.098610828642594,,"[[0.111, 0.21, 0.349, 0.436], [20.238015376025068, 18.57472043969598, 17.77673175711714, 16.313694904660313]]",2.4302048465652484,,"[[0.111, 0.21, 0.349, 0.436], [1.085881455503033, 1.3300927892920553, 1.6830183656544226, 1.8686858596719451]]",,,"[[], []]",,,"[[], []]",0.1415959380416667,,"[[0.111, 0.21, 0.349, 0.436], [-0.10563203524637066, -0.09901140971821148, -0.054811803303811024, -0.07047952569882487]]",5.30548668404088,,"[[0.111, 0.21, 0.349, 0.436], [0.24475375764947183, 0.5906526945258778, 1.39996600692774, 1.9431240295135346]]",4.45966383964188,,"[[0.111, 0.21, 0.349, 0.436], [0.4173304199218002, 0.8473123081747276, 1.530616891174383, 1.8383313813962943]]",,,"[[], []]",,,"[[], []]","[0.,0.55,0.95,1.38333333,1.9,2.45,
2.9,3.36666667,3.81666667]","[0.045,0.064,0.084,0.111,0.149,0.21,0.273,0.349,0.436]",,,,,,,,,,,,
90,90,epsilon,Markus_old_Er16,Markus,2015,Markus_old_Er16,,ATCC33656,E.rectale,no,OK,suc,,,,0.585795219,0.038696315,-53.63347735159648,,"[[0.119, 0.202, 0.311, 0.396], [19.933069921328087, 19.530664060937397, -17.846017901193413, 17.355038069204618]]",2.0678519544530163,,"[[0.119, 0.202, 0.311, 0.396], [1.068150760946539, 1.2754759020799473, 1.4760215844916802, 1.6508565665932666]]",,,"[[], []]",,,"[[], []]",-0.17649101943761808,,"[[0.119, 0.202, 0.311, 0.396], [-0.0016228469094763387, -0.008580275518379255, -0.041463308486760386, -0.04515439191321324]]",5.234759115576622,,"[[0.119, 0.202, 0.311, 0.396], [0.31849304562384945, 0.6029187856413467, 1.2000966614491513, 1.7571121666392013]]",5.245615600301953,,"[[0.119, 0.202, 0.311, 0.396], [0.4436052321490564, 0.8982136506027161, 1.4512945155313712, 1.9040403868201687]]",,,"[[], []]",,,"[[], []]","[0.,0.45,0.9,1.36666667,1.8,2.23333333,
2.73333333,3.18333333,3.61666667,4.11666667]","[0.037,0.047,0.066,0.089,0.119,0.15,0.202,0.257,0.311,0.396]",,,,,,,,,,,,
91,91,epsilon,Markus_old_Er17,Markus,2015,Markus_old_Er17,,ATCC33656,E.rectale,no,OK,suc,,,,0.460224054,0.035877776,-78.17477120099981,,"[[0.105, 0.2, 0.288, 0.336], [20.41852237649177, 19.317457088805924, -18.05112790852723, 17.31073378225215]]",2.8435738475334196,,"[[0.105, 0.2, 0.288, 0.336], [1.1258782663110716, 1.3885396343984648, 1.6155987026937169, 1.796890974036866]]",,,"[[], []]",,,"[[], []]",-0.17274606097735298,,"[[0.105, 0.2, 0.288, 0.336], [-0.003777824157904841, -0.01070122414914465, -0.03269625622419303, -0.042180716709299904]]",5.177954056656192,,"[[0.105, 0.2, 0.288, 0.336], [0.3135852755906826, 0.6789242133987848, 1.1572357282102168, 1.5261889811766967]]",5.768331428642048,,"[[0.105, 0.2, 0.288, 0.336], [0.47155678602249496, 0.9997614665917355, 1.4902534923732826, 1.8177232108355579]]",,,"[[], []]",,,"[[], []]","[0.,0.45,0.91666667,1.36666667,1.81666667,2.23333333,
2.75,3.18333333,3.61666667,4.11666667,4.58333333,5.13333333]","[0.035,0.042,0.052,0.069,0.082,0.105,0.133,0.17,0.2,0.245,0.288,0.336]",,,,,,,,,,,,
102,102,epsilon,,Richa,,analysis_stan_eplus_wtrp_02Sep22.csv,,ATCC25285,B.fragilis,yes,OK,"lac2,lac3,suc2,suc4",,,B.fragilis,0.423352108,0.047658452,-3.14168804,0.194048346,"[[0.09, 0.186, 0.238, 0.406], [16.582263484544022, 16.120545878427436, 15.96266426867315, 15.556489783765322]]",5.425514087,0.541383477,"[[0.09, 0.186, 0.238, 0.406], [10.856928549155212, 11.178213547245052, 11.367172553743742, 12.534805915771763]]",0.213933885,0.004466764,"[[0.09, 0.186, 0.238, 0.406], [0.3978073906462191, 0.4330724923746574, 0.4566456685436321, 0.46785708488652566]]",-1.887819342,0.222246369,"[[0.09, 0.186, 0.238, 0.406], [-0.3232472441182581, -0.4099525413752072, -0.41037921893552953, -0.904906147502148]]",2.764747126,4.069995876,"[[0.09, 0.186, 0.238, 0.406], [0.20090103713098284, 1.053666808568735, 1.4004629763429681, 1.1854723061492016]]",0.565885663,3.130008044,"[[0.09, 0.186, 0.238, 0.406], [1.063086856998485, 0.5756739362758578, 0.4639692757667887, 1.1375117247807456]]",,,"[[], []]",,,"[[0.406], [1.845664406591919]]",0.252333778,0.001642952,"[[0.09, 0.186, 0.238, 0.406], [5.161944236265832, 5.1993514457371, 5.2145675947739925, 5.244283049023408]]","[0.0, 0.783333333, 1.583333333, 2.2, 2.583333333, 3.416666667, 3.75, 4.116666667, 4.766666667, nan, nan, nan]","[0.057, 0.065, 0.09, 0.107, 0.124, 0.186, 0.238, 0.294, 0.406, nan, nan, nan]",,,,,,,,,,,,
104,104,epsilon,,Richa,,analysis_stan_eplus_wtrp_02Sep22.csv,,ATCC29148,B.theta,yes,OK,"glu4,ace4,suc4,lac4",,,B.theta,0.493549687,0.04051329,-2.593197062,0.124006261,"[[0.068, 0.182, 0.289, 0.653], [16.48386975811337, 16.068363673233485, 15.623157673062575, 14.92038522994898]]",2.152943978,0.123163049,"[[0.068, 0.182, 0.289, 0.653], [10.814003861776763, 11.226149985304547, 11.576353025220472, 12.135215120150551]]",-0.02328724,0.000165722,"[[0.068, 0.182, 0.289, 0.653], [0.42907237286614563, 0.4283458729323364, 0.4156360177572627, 0.415869246061514]]",11.87565285,39.80114074,"[[0.068, 0.182, 0.289, 0.653], [-0.5875899946050308, -0.5118849527020187, 5.891461562773466, 6.03974844842449]]",1.22365268,0.134674559,"[[0.068, 0.182, 0.289, 0.653], [0.2830358187752031, 0.6229842871779686, 0.8487471478210445, 1.0718585412580426]]",1.318933183,0.006657421,"[[0.068, 0.182, 0.289, 0.653], [0.8481233884860903, 0.9293542845055816, 1.0974859084402822, 1.5960432895304137]]",,,"[[], []]",,,"[[0.653], [1.7268167442322446]]",-0.03058022,0.000124939,"[[0.068, 0.182, 0.289, 0.653], [5.141130037036839, 5.1360128703215, 5.125681104593844, 5.1224873270281055]]","[0.0, 0.783333333, 1.583333333, 2.2, 2.583333333, 3.416666667, 3.75, 4.116666667, 4.766666667, nan, nan, nan]","[0.047, 0.068, 0.086, 0.106, 0.12, 0.182, 0.23, 0.289, 0.653, nan, nan, nan]",,,,,,,,,,,,
105,105,epsilon,,Richa,,analysis_stan_eplus_wtrp_02Sep22.csv,,DSM3979,C.aerofaciens,yes,OK,,,,C.aerofaciens,0.745012343,0.031339224,-5.141249312,0.070796479,"[[0.073, 0.216, 0.311, 0.452], [16.15653108992045, 15.475724863339257, 15.049483477394237, 14.191918750136306]]",3.192244403,0.00824668,"[[0.073, 0.216, 0.311, 0.452], [10.823143747218607, 11.304746719792728, 11.559833316526992, 12.04510684068004]]",-0.000218012,0.000407318,"[[0.073, 0.216, 0.311, 0.452], [0.42615229050112163, 0.41600885101061624, 0.42470965862136445, 0.4239081790407073]]",-3.518364164,208.644162,"[[0.073, 0.216, 0.311, 0.452], [-0.19407821602383324, 6.528102856785001, -0.08077194317736036, 0.02778950467343333]]",0.337243168,0.055135464,"[[0.073, 0.216, 0.311, 0.452], [-0.09430647474475384, -0.1013707568893866, 0.0530575489725055, 0.0027179990635861073]]",9.478630688,0.298531489,"[[0.073, 0.216, 0.311, 0.452], [2.0944379552774395, 3.3611734716844173, 4.111394609256376, 5.725466763822791]]",,,"[[], []]",2.919512394,9.77E-05,"[[0.216, 0.311, 0.452], [1.9654346071305153, 2.240637224006811, 2.654177068500187]]",0.022114116,0.002701087,"[[0.073, 0.216, 0.311, 0.452], [5.104494113992617, 5.081879922352326, 5.107087144907853, 5.107143460431801]]","[0.0, 0.8, 1.416666667, 1.8, 2.633333333, 2.966666667, 3.333333333, nan, nan, nan, nan, nan]","[0.042, 0.052, 0.073, 0.095, 0.216, 0.311, 0.452, nan, nan, nan, nan, nan]",,,,,,,,,,,,
108,108,BHI,,Markus,,analysis_Zurich_BHI_202301.csv,,ATCC33656,E.rectale,yes,OK,"lac4,but1",,,E.rectale1,1.066328719,0.056434054,-3.072062484,0.00519638,"[[0.145, 0.237, 0.372, 0.6], [9.338574870895872, 9.028704780357202, 8.661364846572472, 7.927632107830724]]",10.96998669,0.703606976,"[[0.145, 0.237, 0.372, 0.6], [2.2939326068079633, 3.1355176536405307, 4.286006013937099, 7.284014414775881]]",-0.313772115,0.152251875,"[[0.145, 0.237, 0.372, 0.6], [7.448712793985211, 7.168847886771469, 7.3309643221858245, 7.214482656260819]]",,,"[[], []]",-0.543476202,0.378183581,"[[0.145, 0.237, 0.372, 0.6], [1.2661654521808188, 1.123039485618221, 0.7839170979087451, 1.0287122707289187]]",-3.409450333,1.464470456,"[[0.145, 0.237, 0.372, 0.6], [2.8191768102839223, 2.8924496977403815, 2.777285802155901, 1.324285432643698]]",1.18610222,0.04448296,"[[0.145, 0.237, 0.372, 0.6], [0.33931837974003404, 0.5902076533026144, 0.6716543235479364, 0.9259390539788291]]",9.225436961,0.045813215,"[[0.145, 0.237, 0.372, 0.6], [0.8566662187604795, 1.5782695040318433, 2.843213743178538, 5.018680175288437]]",-2.60687783,0.246914412,"[[0.145, 0.237, 0.372, 0.6], [3.413180518669051, 3.2038796296587475, 3.0980304931080314, 2.203466051890659]]","[0.0, 0.483333333, 1.15, 1.616666667, 2.116666667, nan, nan, nan, nan, nan, nan]","[0.058, 0.093, 0.185, 0.32, 0.548, nan, nan, nan, nan, nan, nan]",0,,,,,,,,,,,
109,109,BHI,,Markus,,analysis_Zurich_BHI_202301.csv,,ATCC33656,E.rectale,yes,OK,,,,E.rectale2,0.774442695,0.044296787,-0.030759557,0.01094238,"[[0.153, 0.231, 0.455, 0.503], [9.528558716003058, 9.580471959705502, 9.555431572821597, 9.525878047660918]]",2.399029979,0.079643987,"[[0.153, 0.231, 0.455, 0.503], [2.066572880992336, 2.1420414230538753, 2.6787990053827095, 2.9166783907151466]]",-0.123346215,0.086550023,"[[0.153, 0.231, 0.455, 0.503], [7.406872052604959, 7.227219613269146, 7.306708915675301, 7.302505464931225]]",,,"[[], []]",0.179336488,0.016739773,"[[0.153, 0.231, 0.455, 0.503], [1.2260809425333101, 1.166136586431792, 1.2457183933667155, 1.2673528461565]]",-0.081430218,0.020577737,"[[0.153, 0.231, 0.455, 0.503], [2.606245445217713, 2.517136304210884, 2.5474365696692187, 2.5505255134461136]]",2.81743752,0.12569437,"[[0.153, 0.231, 0.455, 0.503], [0.6152232670822759, 0.6331982703464913, 1.3689067098939243, 1.5447698949858517]]",-0.17192351,0.098808914,"[[0.153, 0.231, 0.455, 0.503], [0.6360939737570985, 0.8015953302498492, 0.6703271014833642, 0.6260749779434531]]",0.298000441,0.065507315,"[[0.153, 0.231, 0.455, 0.503], [1.1737739427935534, 1.344911972848981, 1.3174842272595355, 1.3320208520842212]]","[0.0, 0.516666667, 1.166666667, 1.633333333, 2.133333333, 2.833333333, 3.016666667, nan, nan, nan, nan]","[0.045, 0.065, 0.101, 0.179, 0.22, 0.403, 0.451, nan, nan, nan, nan]",1,,,,,,,,,,,
110,110,BHI,,Markus,,analysis_Zurich_BHI_202301.csv,,DSM14610,R.intestinalis,yes,OK,,,,R.intestinalis1,0.665744552,0.047908891,-1.829252771,0.025733234,"[[0.166, 0.259, 0.367, 0.41], [9.368126068067362, 9.212136242372083, 9.040609778372765, 8.902752313310401]]",3.899330977,0.047096558,"[[0.166, 0.259, 0.367, 0.41], [2.34154531460296, 2.695623537940314, 3.072622530787366, 3.3217359631671783]]",0.259077747,0.235428032,"[[0.166, 0.259, 0.367, 0.41], [7.2065964765978805, 7.335730419469517, 7.377606409201276, 7.237390901206157]]",,,"[[], []]",0.069347462,0.007762721,"[[0.166, 0.259, 0.367, 0.41], [1.2029942490487016, 1.2405679084938281, 1.2224344937126954, 1.2283699788145268]]",0.027870126,0.017582109,"[[0.166, 0.259, 0.367, 0.41], [2.7141610874266244, 2.7556472660034577, 2.7127902310020517, 2.7399367374117016]]",3.35445653,0.11530693,"[[0.166, 0.259, 0.367, 0.41], [0.601949890410308, 0.9003627384218663, 1.1937219043944234, 1.4653880840877795]]",-0.692896226,0.783869442,"[[0.166, 0.259, 0.367, 0.41], [0.8070325906630891, 0.44636398076213646, 0.6587309837084977, 0.53118002243038]]",-0.441280443,0.16920036,"[[0.166, 0.259, 0.367, 0.41], [1.3870122000252791, 1.247285198386929, 1.200075113477231, 1.3015990644333093]]","[0.0, 0.5, 1.183333333, 1.633333333, 2.133333333, 2.833333333, 3.25, nan, nan, nan, nan]","[0.042, 0.064, 0.114, 0.175, 0.207, 0.315, 0.358, nan, nan, nan, nan]",2,,,,,,,,,,,
111,111,BHI,,Markus,,analysis_Zurich_BHI_202301.csv,,DSM14610,R.intestinalis,yes,OK,,,,R.intestinalis2,0.658608167,0.042888234,-1.654543296,0.017728623,"[[0.146, 0.234, 0.337, 0.357], [9.383276663653461, 9.252165553063755, 9.094511980014214, 9.018721968888027]]",3.556517525,0.011797691,"[[0.146, 0.234, 0.337, 0.357], [2.417619686891354, 2.6977995147525937, 3.0831024566730454, 3.165951598354403]]",0.047624275,0.078072244,"[[0.146, 0.234, 0.337, 0.357], [7.309020469721766, 7.293604204052475, 7.365252957932847, 7.274941714872287]]",,,"[[], []]",0.064305675,0.010547654,"[[0.146, 0.234, 0.337, 0.357], [1.2247270915826713, 1.2015470049774692, 1.2389818234398582, 1.225526652734614]]",0.033431183,0.027627838,"[[0.146, 0.234, 0.337, 0.357], [2.741467354110802, 2.6921265112187776, 2.7374631872655097, 2.7361815164216425]]",3.34105505,0.39371117,"[[0.146, 0.234, 0.337, 0.357], [0.5931045214487995, 0.7708606440721852, 1.1067723851525286, 1.349090731416122]]",-0.491976186,0.761118682,"[[0.146, 0.234, 0.337, 0.357], [0.5736565820585562, 0.8001856634148753, 0.5765771622231527, 0.5000424073375178]]",-0.566200189,0.18123579,"[[0.146, 0.234, 0.337, 0.357], [1.2950379023709286, 1.11584470928702, 1.1343046174998126, 1.1658427523558277]]","[0.0, 0.533333333, 1.2, 1.65, 2.15, 2.766666667, 3.266666667, nan, nan, nan, nan]","[0.04, 0.056, 0.094, 0.163, 0.182, 0.285, 0.305, nan, nan, nan, nan]",3,,,,,,,,,,,
112,112,gamma,,Richa,,analysis_stan_eplus_wotrp_Oct22.csv,,NCM3722,E.coli,yes,OK,,,,NCM,0.785007455,0.037918026,-10.86765668,1.343813087,"[[0.078, 0.179, 0.31, 0.392], [17.110300586581225, 16.50095635925284, 14.896805355540492, 13.750667779572668]]",12.57461724,2.554310227,"[[0.078, 0.179, 0.31, 0.392], [10.874762994697267, 11.445584462110812, 13.40669833454647, 14.722012845643688]]",,,"[[], []]",10.74754392,2.132278168,"[[0.078, 0.179, 0.31, 0.392], [1.7013917770447118, 2.1175422064254477, 4.013451594903516, 4.892725917519008]]",1.553644005,1.180522279,"[[0.078, 0.179, 0.31, 0.392], [-0.14103421872298555, 0.024889979787717426, -0.12402754144552598, 0.5088703915674412]]",0.407778827,1.20E-06,"[[0.078, 0.31, 0.392], [-0.03686139530181788, 0.05749291229570598, 0.09127599746474543]]",,,"[[], []]",20.80622682,22.8784026,"[[0.078, 0.179, 0.31, 0.392], [1.305721917649162, 2.074869347032302, 4.484084653888508, 8.067998994078579]]",0.053005114,0.011202325,"[[0.078, 0.179, 0.31, 0.392], [4.991482974755095, 5.0447995987202185, 5.025186189930456, 5.017387567288978]]","[0.0, 0.683333333, 1.133333333, 1.45, 1.766666667, 2.383333333, 2.683333333, 3.016666667, nan, nan, nan, nan]","[0.043, 0.056, 0.078, 0.123, 0.179, 0.252, 0.31, 0.392, nan, nan, nan, nan]",0,,,,,,,,,,,
113,113,gamma,,Richa,,analysis_stan_eplus_wotrp_Oct22.csv,,ATCC25285,B.fragilis,yes,OK,,,,B.fragilis,0.320548695,0.059996216,-7.469686635,0.002703535,"[[0.072, 0.111, 0.227, 0.33], [17.698754382655174, 17.40580469407403, 16.55541786618707, 15.766552557436977]]",4.782880888,0.058071815,"[[0.072, 0.111, 0.227, 0.33], [10.36592616797387, 10.460118574862262, 11.088151730033761, 11.55832271190685]]",2.269785921,0.013483003,"[[0.072, 0.111, 0.227, 0.33], [0.0035424840753617293, 0.055122895016262635, 0.3600355849584844, 0.5689399713294285]]",1.004319001,0.124634642,"[[0.072, 0.111, 0.227, 0.33], [1.2351005569430842, 1.3307346916246612, 1.510080991741951, 1.4884727886403586]]",0.182288891,0.000533314,"[[0.072, 0.111, 0.227, 0.33], [-0.14192827468162433, -0.1427669161589007, -0.11364777402832384, -0.09896136534869746]]",0.766864962,0.611544761,"[[0.072, 0.111, 0.227, 0.33], [0.35393069324368104, 0.38710698261600973, 0.24531195170629105, 0.6193415168412354]]",,,"[[], []]",5.926964255,0.145938579,"[[0.111, 0.227, 0.33], [-0.06090324936864422, 0.6976445441535553, 1.2342346577980097]]",-0.03244301,0.00167127,"[[0.072, 0.111, 0.227, 0.33], [5.028874783577352, 5.04135007395068, 5.036355631667585, 5.023893468928589]]","[0.0, 0.683333333, 1.133333333, 1.45, 1.766666667, 2.383333333, 2.683333333, 3.016666667, 3.65, 3.916666667, 4.15, 5.3]","[0.061, 0.072, 0.085, 0.097, 0.111, 0.128, 0.139, 0.157, 0.192, 0.211, 0.227, 0.33]",1,,,,,,,,,,,
115,115,gamma,,Richa,,analysis_stan_eplus_wotrp_Oct22.csv,,ATCC29148,B.theta,yes,OK,,,,B.theta,0.433199744,0.061585486,-5.710262929,0.032507575,"[[0.086, 0.134, 0.234, 0.368], [17.52777993837921, 17.32767249020469, 16.730947710798652, 15.941570526340037]]",7.815943355,0.000363619,"[[0.086, 0.134, 0.234, 0.368], [10.434263740668372, 10.801335082657307, 11.586904945367968, 12.63552073968406]]",0.600105806,0.007730273,"[[0.086, 0.134, 0.234, 0.368], [-0.03709653698183815, -0.044991615797532525, 0.04168652534651704, 0.11774479418743938]]",2.994167497,0.179470781,"[[0.086, 0.134, 0.234, 0.368], [1.7868826262253314, 1.8564526783475972, 2.3249295112999677, 2.581966095148006]]",1.485921777,5.67E-05,"[[0.086, 0.134, 0.234, 0.368], [-0.030974003103655154, 0.043548816774269306, 0.19055691922821538, 0.3891801526241455]]",-0.13641849,0.000419421,"[[0.086, 0.134, 0.234, 0.368], [2.283370858311707, 2.282468935678909, 2.270776043080798, 2.246053089227541]]",,,"[[], []]",8.491725983,0.01326126,"[[0.134, 0.234, 0.368], [0.5058957429162746, 1.3795352768524867, 2.4952201551075337]]",-0.098969865,0.007735101,"[[0.086, 0.134, 0.234, 0.368], [4.989095386912638, 5.0214367525802315, 4.986288816152841, 4.9754296054432645]]","[0.0, 0.683333333, 1.133333333, 1.45, 1.766666667, 2.383333333, 2.683333333, 3.016666667, 3.65, 3.916666667, 4.15, nan]","[0.057, 0.086, 0.104, 0.117, 0.134, 0.174, 0.197, 0.234, 0.29, 0.332, 0.368, nan]",3,,,,,,,,,,,
116,116,BHI,,Richa,,analysis_stan_BHI_24Dec22.csv,,HM-727,B.finegoldii,yes,OK,,,,B.finegoldii,0.657857271,0.047886606,-3.181997402,0.003449421,"[[0.076, 0.095, 0.123, 0.181, 0.231], [6.402924377880241, 6.347438940348949, 6.266560456394663, 6.06507269773852, 5.916604725272794]]",3.677496261,0.029290425,"[[0.076, 0.095, 0.123, 0.181, 0.231], [3.093781426720602, 3.21086638288849, 3.30978360818775, 3.501831475904727, 3.6871184371763785]]",-0.532442401,0.029104068,"[[0.076, 0.095, 0.123, 0.181, 0.231], [10.870459404384164, 10.81837805298774, 10.839365016300704, 10.817460069383092, 10.763822253372766]]",-3.671822068,7.439659322,"[[0.076, 0.095, 0.123, 0.181, 0.231], [3.535863171949466, 2.7098385171290675, 2.706868269889763, 2.6432225619455374, 2.6693644662260567]]",-0.243048439,0.001349614,"[[0.076, 0.095, 0.123, 0.181, 0.231], [0.6081871578523713, 0.5923328834179062, 0.5895464992801919, 0.5774244663453864, 0.5655946028553789]]",0.326129194,0.003470564,"[[0.076, 0.095, 0.123, 0.181, 0.231], [3.0358615089305623, 3.057364881841623, 3.0643596435822484, 3.082994701210311, 3.0912430219379026]]",,,"[[], []]",2.52875856,0.050947116,"[[0.076, 0.095, 0.123, 0.181, 0.231], [0.7027435068337735, 0.7820335908252849, 0.8877475150827263, 1.0037837723690888, 1.1084395018169608]]",-0.001317422,0.001301495,"[[0.076, 0.095, 0.123, 0.181, 0.231], [4.596556110806323, 4.60633377970956, 4.603822529067559, 4.604314507856931, 4.599380538078558]]","[0.0, 0.183333333, 0.45, 0.65, 0.883333333, 1.066666667, 1.433333333, 1.633333333, 2.066666667, 2.366666667]","[0.049, 0.052, 0.062, 0.076, 0.09, 0.095, 0.123, 0.14, 0.181, 0.231]",,,,,,,,,,,,
